arabic,english,tags
عَزيز,"dear, esteemed, beloved",noun Descriptive Chapter_19
أعِزّاء,"dear, esteemed, beloved (pl)",noun Descriptive Chapter_19
عَظيم,"great, important, imposing",noun Descriptive Chapter_19
عُظَماء,"great, important, imposing (pl)",noun Descriptive Chapter_19
غالٍ,"expensive, dear",noun Descriptive Chapter_19
غالِباً,"often, mostly, generally",adv Chapter_19
غَرْب,west,noun Directions Chapter_19
فِرعَون,pharoah,noun Titles Chapter_19
فَراعِنة,pharoahs,noun Titles Chapter_19
فِرقة,"band, company, troupe",noun Chapter_19
فِرَق، أفْرِقة,"bands, companies, troupes",noun Chapter_19
قارِب,boat,noun Transportation Chapter_19
قَوارِب,boats,noun Transportation Chapter_19
قامَرَ (يُقامِرُ) مُقامَر، قِمار,to gamble,verb Chapter_19
قَدَّمَ (يُقَدِّمُ) تَقديم,"to serve, to provide",verb Chapter_19
كَذلِكَ,"also, as well",adv Chapter_19
كيلومِتر,kilometer,noun Measurements Chapter_19
كيلومِترات,kilometers,noun Measurements Chapter_19
لَدى,at (expressing possession),prep Chapter_19
لُعبة,"game, play, ride",noun Entertainment Chapter_19
لُعبات، ألعاب,"games, plays, rides",noun Entertainment Chapter_19
مَبنى,"building, construction",noun Chapter_19
مَبانٍ,"buildings, constructions",noun Chapter_19
مُتحَف,museum,noun Locations Chapter_19
مَتاحِف,museums,noun Locations Chapter_19
مُحِبّ,loving,noun Descriptive Chapter_19
مُحِبّون,loving (pl),noun Descriptive Chapter_19
مُخلِص,"sincere, faithful, (sincerely yours)",noun Descriptive Chapter_19
مُخلِصون,"sincere, faithful, (sincerely yours) (pl)",noun Descriptive Chapter_19
مُدّة,"period, duration",noun Times Chapter_19
مُدَد,"periods, durations",noun Times Chapter_19
مَرَّ (يَمُرُّ) مُرور,"to pass, to go by",verb Chapter_19
مَسجِد,mosque,noun Islam Chapter_19
مَساجِد,mosques,noun Islam Chapter_19
مَسرَح,"theater, stage",noun Entertainment Chapter_19
مَسارِح,"theaters, stages",noun Entertainment Chapter_19
مُشْتاق,"one who is longing, yearning",noun Chapter_19
مُشْتاقون,"one who is longing, yearning (pl)",noun Chapter_19
مِصعَد,"elevator, lift",noun Chapter_19
مَصاعِد,"elevators, lifts",noun Chapter_19
مَعَ أنَّ,"though, although",conj Chapter_19
مُقبِل,"coming, next, following",noun Common Chapter_19
مُقبِلون,"coming, next, following (pl)",noun Common Chapter_19
مِليون,million,noun Numbers Chapter_19
مُنْدُ,"since, for",prep Chapter_19
مَيدان,"square, field, arena",noun Locations Chapter_19
مَيادين,"squares, fields, arenas",noun Locations Chapter_19
ميناء,port,noun Locations Chapter_19
مَوانِئ,ports,noun Locations Chapter_19
نَسَمة,person (used in population counts),noun People Chapter_19
نَسَمات,people (used in population counts),noun People Chapter_19
هامٌّ,"important, significant",noun Descriptive Chapter_19
هامّون,"important, significant (pl)",noun Descriptive Chapter_19
هَرَم,pyramid,noun Chapter_19
أهرام/أهرامات,pyramids,noun Chapter_19
والِد,"father, parent",noun Family Chapter_19
والِدون,"fathers, parents",noun Family Chapter_19
أبَداً,"never, not at all",adv Chapter_19
اتَّسَعَ (يَتَّسِعُ) اتِّساع,"to hold, to contain",verb Chapter_20
اِتَّصَلَ (يَتَّصِلُ) اِتِّصال (بـ),to contact,verb Chapter_20
اِتَّفَقَ (يَتَّفِقُ) اِتِّفاق (مَعَ),to agree (with someone),verb Chapter_20
إجّاص,pear,noun Food Chapter_20
أحمَر,red,adj Colors Chapter_20
حُمْر,red (pl),adj Colors Chapter_20
أخْبَرَ (يُخْبِرُ) إخْبار,"to notify, to inform",verb Chapter_20
أزرَق,blue,adj Colors Chapter_20
زُرْق,blue (pl),adj Colors Chapter_20
أصْفَر,yellow,adj Colors Chapter_20
صُفْر,yellow (pl),adj Colors Chapter_20
باذِنجان,eggplant,noun Food Chapter_20
بازِلاء,green peas,noun Food Chapter_20
بامْية,ochra,noun Food Chapter_20
بِبُطءٍ,slowly,adv Chapter_20
بِذرة,"seed, kernel",noun Plants Chapter_20
بُذور,"seeds, kernels",noun Plants Chapter_20
بِطّيخ,watermelon,noun Food Chapter_20
بَقَرة,"cow, cattle",noun Animals Chapter_20
أبْقار/بَقَر,"cows, cattle",noun Animals Chapter_20
بَنَدورة (طَماطِم في مصر),tomato,noun Food Chapter_20
بَيضاء,white (f),adj Colors Chapter_20
تابِل,"spice, condiment, seasoning",noun Food Chapter_20
تَوابِل,"spices, condiments, seasonings",noun Food Chapter_20
تَقريباً,"approximately, about, nearly, roughly",adv Chapter_20
توت,berry,noun Food Chapter_20
ثوم,garlic,noun Food Chapter_20
جَرى (يَجري) جَري,"to run, to flow, to hurry, to rush, to happen, to occur",verb Chapter_20
حِصان,horse,noun Animals Chapter_20
أحْصِبة,horses,noun Animals Chapter_20
خَسّ,lettuce,noun Food Chapter_20
جُصوصاً,"especially, particularly",adv Chapter_20
حَفْلة,party,noun Entertainment Chapter_20
حَفَلات,parties,noun Entertainment Chapter_20
ذُرة,corn,noun Food Chapter_20
رُبَّما,"perhaps, probably",adv Chapter_20
سَلّة,basket,noun Chapter_20
سِلال,baskets,noun Chapter_20
سَميط,a kind of toasted thin bread,noun Food Chapter_20
شَرَحَ (يَشرَحُ) شَرْح,"to explain, to explain, to illustrate",verb Chapter_20
شَطيرة,sandwich,noun Food Chapter_20
شَطائِر,sandwiches,noun Food Chapter_20
شَوى (يَشوي) شَي,"to grill, to boil",verb Chapter_20
ضَحِكَ (يَضْحَكُ) ضِحْك,to laugh,verb Chapter_20
عامّ,public,adj Chapter_20 Chapter_23
عَصا,"stick, rod, cane",noun Chapter_20
عُصِيّ,"sticks, rods, canes",noun Chapter_20
على ما يَبْدو (أنّ),it seems; it appears,phrase Chapter_20
عِنَب,grape,noun Food Chapter_20
غَيْر,"non-, un-, other than, different from",noun Chapter_20
فازَ (يفوزُ) فَوز,to win,verb Chapter_20
فاصولية,green beans,noun Food Chapter_20
فَريق,"team, company, band, troupe",noun Chapter_20
فِرَق,"teams, companies, bands, troupes",noun Chapter_20
فَكَّرَ (يُفَكِّرُ) تَفْكير,"to think, to reflect, to ponder (not to believe)",verb Chapter_20
فُلَيفُلة,green (bell) pepper,noun Food Chapter_20
فَهِمَ (يَفْهَمُ) فَهْم,"to understand, to comprehend, to realize",verb Chapter_20
فول (سوداني),peanuts,noun Food Chapter_20
قاعِدة,"rule, principle, basis, foundation, base",noun Chapter_20
قَواعِد,"rules, principles, bases, foundations",noun Chapter_20
قَرنَبيط,cauliflower,noun Food Chapter_20
كَـ,"like, as",prep Chapter_20
كافٍ (الكافي),sufficient,adj Chapter_20 Chapter_23
كُرة,"ball, sphere",noun Sports Chapter_20
كُرات,"balls, spheres",noun Sports Chapter_20
كُرةُ السَلّة,basketball,noun Sports Chapter_20
كُرةُ الطاولة,table tennis,noun Sports Chapter_20
الكُرةُ الطائرة,volleyball,noun Sports Chapter_20
كُرةُ القَدَم,football/soccer,noun Sports Chapter_20
كُرةُ الماء,water polo,noun Sports Chapter_20
كُرةُ المَضرِب,tennis,noun Sports Chapter_20
كوسا,zucchini,noun Food Chapter_20
لُبّ,"kernel, seed",noun Plants Chapter_20
لُبوب,"kernels, seeds",noun Plants Chapter_20
لَذيذ,"delicious, delightful, tasty",adj Chapter_20
لَعِبَ (يَلعَبُ) لُعْب,to play,verb Chapter_20
لَمْ يَعُدْ,no longer,phrase Chapter_20
ماء غازيّ,soda,noun Food Chapter_20
مِياه غازيّة,sodas,noun Food Chapter_20
مُباراة,"match, game",noun Sports Chapter_20
مُبارَيات,"matches, games",noun Sports Chapter_20
مُتَفَرِّج,spectator,noun Sports Chapter_20
مُتَفَرِّجون,spectators,noun Sports Chapter_20
مُحَمَّص,"roasted, toasted",adj Food Chapter_20
مِشواة,"grill, gridiron",noun Chapter_20
مَشاوٍ,"grills, gridirons",noun Chapter_20
مَشويّ,grilled,adj Food Chapter_20
مُفَضَّل,"preferred, favorite",adj Chapter_20
مَوْز,banana,noun Food Chapter_20
نَقانِق (أو مَقانِق),"small, spicy mutton sausage",noun Food Chapter_20
وَقْت,time,noun Chapter_20
أوْقات,times,noun Chapter_20
أثْناء,during,prep Chapter_20
آسيا,Asia,noun Places Chapter_21
أطَلَّ (يُطِلُّ) إطْلال,to overlook,verb Chapter_21
أطلَسيّ,Atlantic,adj Places Chapter_21
أطْلَقَ (يُطْلِق) إطْلاق,"to discharge a firearm, to shoot; to dispatch",verb Chapter_21
اِعتَبَرَ (يَعتَبِرُ) اِعتِبار,to consider,verb Chapter_21
أعْلى,"top, highest point, upper",noun Common Chapter_21
أعالٍ,"tops, highest points, upper",noun Common Chapter_21 Chapter_24
إفريقية,Africa,noun Places Chapter_21 Chapter_24
إقليم,region,noun Places Chapter_21
أقاليم,regions,noun Places Chapter_21
أنتَجَ (يُنتِجُ) إنتاج,to produce,verb Chapter_21
اِنقَطَعَ (يَنقَطِعُ) اِنقِطاع,"to be interrupted, to be severed",verb Chapter_21
إيران,Iran,noun Places Chapter_21
بادِية,semi-arid desert,noun Geography Chapter_21
بَوادٍ,semi-arid deserts,noun Geography Chapter_21
بِضاعة,"merchandise, goods",noun Chapter_21
بَضائِع,"merchandise, goods (pl)",noun Chapter_21
بوظة,ice cream,noun Food Chapter_21
تَأَلَّفَ (يَتَألَّفُ) تَألُّف,"to consist of, to comprise",verb Chapter_21
تَقْليديّ,traditional,adj Chapter_21
تَمْر,date (fruit),noun Food Chapter_21
تُمور,dates (fruit),noun Food Chapter_21
ثَقْب,hole,noun Chapter_21
ثُقوب,holes,noun Chapter_21
جَبَل,mountain,noun Geography Chapter_21
جِباب,mountains,noun Geography Chapter_21
جَرَّبَ (يُجَرِّبُ) تَجْرِبة,"to test, to try (not to attempt)",verb Chapter_21
جَزيرة,island,noun Geography Chapter_21
جُزُر,islands,noun Geography Chapter_21
جغرافية,geography,noun Subjects Chapter_21
جَنوب,south,noun Directions Chapter_21
جِهاز,"device, apparatus, appliance",noun Chapter_21
أجهِزة,"devices, apparatuses, appliances",noun Chapter_21
حدَّ (يَحُدُّ) حَدّ,"to border, to demarcate, to limit",verb Chapter_21
حَدّ,"border, edge, boundary, borderline",noun Chapter_21
حُدود,"borders, edges, boundaries, borderlines",noun Chapter_21
حِذاء,shoe,noun Clothing Chapter_21
أحْذية,shoes,noun Clothing Chapter_21
خَريطة,map,noun Directions Chapter_21
خَرائِط,maps,noun Directions Chapter_21
خَصيب,fertile,adj Chapter_21
خَليج,"gulf, bay",noun Geography Chapter_21
خُلجان,"gulfs, bays",noun Geography Chapter_21
راكِب,"passenger, rider",noun Transportation Chapter_21
رُكّاب,"passengers, riders",noun Transportation Chapter_21
رِحْلة,"trip, journey, flight",noun Transportation Chapter_21
رِحلات,"trips, journeys, flights",noun Transportation Chapter_21 Chapter_23
رَصاص,bullets; lead,noun Chapter_21 Chapter_23
رَوى (يَروي) رَيّ,"to irrigate, to water",verb Chapter_21
زَرَعَ (يَزرَعُ) زَرْع، زِراعة,"to plant, to cultivate",verb Chapter_21
ساحِل,"coast, shore",noun Geography Chapter_21
سَواحِل,"coasts, shores",noun Geography Chapter_21
سَقْف,ceiling,noun Household Chapter_21
سُقوف,ceilings,noun Household Chapter_21
سِلسِلة,"range, series, chain",noun Geography Chapter_21
سَلاسِل,"ranges, series, chains",noun Geography Chapter_21
سَهل,plain,noun Geography Chapter_21
سُهول,plains,noun Geography Chapter_21
شِبْه,"semi-, quasi, similarity",noun Chapter_21
أشباه,"semi-, quasi, similarities",noun Chapter_21
شِعار,"emblem, sign, slogan",noun Chapter_21
شِعارات، أشعِرة,"emblems, signs, slogans",noun Chapter_21
شَكَّلَ (يُشَكِّلُ) تَشكيل,"to form, to constitute",verb Chapter_21
صَبَّ (يصُبُّ) صَبّ,to flow into,verb Chapter_21
صَحْراء,desert,noun Geography Chapter_21
صَحاري,deserts,noun Geography Chapter_21
صِفة,characteristic,noun Chapter_21
صِفات,characteristics,noun Chapter_21
ضَيِّق,"narrow, tight",adj Chapter_21
عاصِمة,capital city,noun Places Chapter_21
عَواصِم,capital cities,noun Places Chapter_21
عالٍ (العالي),"high, elevated",adj Chapter_21
عَديد,"several, multiple",adj Common Chapter_21
على طُول,"throughout, all the way",prep Chapter_21
عَلَم,"flag, banner",noun Chapter_21
أعْلام,"flags, banners",noun Chapter_21
فُسْتُق,pistachio,noun Food Chapter_21
قارّة,continent,noun Geography Chapter_21
قارّات,continents,noun Geography Chapter_21
قُطْر,country,noun Places Chapter_21
أقْطار,countries,noun Places Chapter_21
قُطْن,cotton,noun Plants Chapter_21
قَمْح,wheat,noun Food Chapter_21
كِلا,both,noun Common Chapter_21
مُحيط,ocean,noun Geography Chapter_21
مُحيطات,oceans,noun Geography Chapter_21
مُرَبَّع,square,adj Chapter_21
مِساحة,area,noun Chapter_21
مِساحات,areas,noun Chapter_21
مَصْنوع (مِن),made (of/from),participle Chapter_21
مُغَطَّى (بِـ),covered (with),participle Chapter_21
المِكسيك,Mexico,noun Places Chapter_21
مُنتَج,product,noun Chapter_21
مُنتَجات,products,noun Chapter_21
مَنْفَذ,outlet,noun Household Chapter_21
مَنافِذ,outlets,noun Household Chapter_21
نَبَعَ (يَنبُعُ) نَبْع,"to spring, to originate, to flow",verb Chapter_21
نَحْو,"section, manner, mode, fashion",noun Chapter_21
أنْحاء,"sections, manners, modes, fashions",noun Chapter_21
نِسيج,"textile, tissue, fabric",noun Chapter_21
نِفْط,"petroleum, crude oil",noun Chapter_21
الهادي,Pacific,adj Places Chapter_21
وَسَط,"middle, central",noun Common Chapter_21
أوساط,"middle, central (pl)",noun Common Chapter_21
أجْل (مِن أجْلِ),"for the sake of, because of",conj Chapter_21
إذاعَة,broadcasting station,noun Entertainment Chapter_22
إذاعَات,broadcasting stations,noun Entertainment Chapter_22
اِسْتَمَعَ (يَسْتَمِعُ) اِسْتِماع,to listen,verb Chapter_22
اِشْتَرَكَ (يَشْتَرِكُ) اِشْتِراك,"to enroll in, to subscribe to",verb Chapter_22
أُغبِية,song,noun Entertainment Chapter_22
أغانٍ,songs,noun Entertainment Chapter_22
أمْكَنَ (يُمكِنُ) إمْكان,to be possible,verb Chapter_22
بَثَّ (يَبُثُّ) بَثّ,to broadcast,verb Chapter_22
بِضْع,a few,noun Chapter_22
حَزَرَ (يحْزِرُ) حَزْر,to guess,verb Chapter_22
حَسَّنَ (يحَسِّنُ) تَحْسين,"to improve, to make better",verb Chapter_22
خِلال,"during, through",prep Chapter_22
رَقَصَ (يرقُصُ) رَقْص,to dance,verb Chapter_22
سِلْك,wire,noun Chapter_22
أسْلاك,wires,noun Chapter_22
سَمِعَ (يَسْمَع) سَمْع,to hear,verb Chapter_22
شَريط,tape,noun Chapter_22
أشْرِطة,tapes,noun Chapter_22
شَخْص,person,noun People Chapter_22
أشْخاص,people,noun People Chapter_22
صَراحةً (بِصَراحة),"honestly, candidly",noun Chapter_22
طَبْعاً,of course,adv Chapter_22
طَبيعة,nature,noun Chapter_22
ظَهَرَ (يَظهَرُ) ظُهور,"to appear, to become visible",verb Chapter_22
عاميّ,"colloquial, vulgar, dialectal",adj Chapter_22
غَنّى (يُغَنّي) غِناء,to sing,verb Chapter_22
فَزّورة,riddle,noun Chapter_22
فَوازير,riddles,noun Chapter_22
فَصيح,"pure, good, clear, standard, or literary, Arabic",adj Chapter_22
فَضاء,space,noun Chapter_22
قَمَر,"moon, satellite",noun Chapter_22
أقْمار,"moons, satellites",noun Chapter_22
قَناة,channel,noun Entertainment Chapter_22
قَنَوات,channels,noun Entertainment Chapter_22
كيبِل,cable,noun Chapter_22
ماتَ (يموتُ) مَوْت,to die,verb Chapter_22
مَجّانيّ,free of charge,adj Chapter_22
مُذيع,announcer,noun Occupations Chapter_22
مُذيعون,announcers,noun Occupations Chapter_22
مُطْرِب,entertainer,noun Occupations Chapter_22
مُطْرِبون,entertainers,noun Occupations Chapter_22
مُغَنٍّ,singer,noun Occupations Chapter_22
مُغَنٍّون,singers,noun Occupations Chapter_22
مُقابَلة,interview,noun Chapter_22
مُقابَلات,interviews,noun Chapter_22
مُمْتاز,excellent,adj Common Chapter_22
مُمْتازون,excellent (pl),adj Common Chapter_22
مُمَثِّل,"actor, representative",noun Occupations Chapter_22
مُمَثِّلون,"actors, representatives",noun Occupations Chapter_22
مِن خِلالِ,"by means of, via",prep Chapter_22
مَوْجة,wave,noun Chapter_22
مَوْجات,waves,noun Chapter_22
نَشْرة,"bulletin, report",noun Chapter_22
نَشَرات,"bulletins, reports",noun Chapter_22
نِظام,system,noun Chapter_22
أنْظِمة,systems,noun Chapter_22
اِخْتَلَفَ (يَخْتَلِفُ) اِخْتِلاف (عَن),to differ (from),verb Chapter_22
اِرتَفَعَ (يَرتَفِعُ) اِرتِفاع,"to rise, to be higher",verb Chapter_23
اِستَضافَ (يستَضيفُ) استِضافة,to host,verb Chapter_23
اِشْتاقَ (يَشْتاقُ) اِشْتِياق (لـ/ألى),"to long (for), to yearn",verb Chapter_23
أصَرَّ (يُصِرُّ) إصْرار,to insist,verb Chapter_23
اِقْتَرَبَ (يَقْتَرِبُ) اِقْتِراب (مِن),"to draw near, get close (to)",verb Chapter_23
إنْ,if,particle Chapter_23
أيَّما,"immensely, greatly",noun Chapter_23
بَسيط,simple,adj Chapter_23
بُسطاء,simple (pl),adj Chapter_23
تأشيرة دُخول,visa,noun Chapter_23
تَدافَعَ (يَتَدافَعُ) تَدافُع,"to push, shove one another",verb Chapter_23
تَعَوَّدَ (يَتَعَوَّدُ) تَعَوُّد (على),to be accustomed to,verb Chapter_23
تَنَزَّهَ (يَتَنَزَّهُ) تَنَزُّه,to stroll; to have a good time; to go on a picnic,verb Chapter_23
جَواز (سَفر),passport,noun Chapter_23
حَضَرَ (يحْضُرُ) حُضور,"to attend, to be present",verb Chapter_23
خارِج,outside,noun Chapter_23
خَفَّفَ (يُخَفِّفُ) تَخْفيف (عَن),to diminish the difficulty of,verb Chapter_23
خَليفة,"caliph, successor",noun Titles Chapter_23
خُلَفاء,"caliphs, successors",noun Titles Chapter_23
ساقَ (يَسوقُ) سِياقة,to drive,verb Chapter_23
سَخيف,"silly, absurd, foolish",adj Chapter_23
سُخَفاء,"silly, absurd, foolish (pl)",adj Chapter_23
سَرَّ (يَسُرُّ) سُرور,"to please, to be glad",verb Chapter_23
سَطْح,"surface, level",noun Chapter_23
سُطوح,"surfaces, levels",noun Chapter_23
سِياسيّ,political,adj Chapter_23
شَيِّق,"interesting, thrilling",adj Chapter_23
صَحَفِيّ,journalist,noun Occupations Chapter_23
صَحَفِيّون,journalists,noun Occupations Chapter_23
صَحيفة,newspaper,noun Entertainment Chapter_23
صُحُف,newspapers,noun Entertainment Chapter_23
عَبَرَ (يَعبُرُ) عُبور,to cross,verb Chapter_23
عَكْس,"opposite, reverse, contrary",noun Chapter_23
غادَرَ (يُغادِرُ) مُغادَرة,to leave,verb Chapter_23
فَلاّح,"peasant, farmworker",noun People Chapter_23
فَلاّحون,"peasants, farmworkers",noun People Chapter_23
قَد,"denotes completed action, emphasis, or possibility",particle Chapter_23
أقارِب,relatives,noun Family Chapter_23
قَلْب,heart,noun Body Chapter_23
قُلوب,hearts,noun Body Chapter_23
كَرَم,"hospitality, generosity",noun Abstract Chapter_23
كَلام,"speech, speaking",noun Chapter_23
لاعِب,player,noun Sports Chapter_23
لاعِبون,players,noun Sports Chapter_23
لَقَد,expresses completed action with a perfect tense verb,particle Chapter_23
مُجْتَمَع,"society, community",noun Chapter_23 Chapter_24
مُجْتَمَعات,"societies, communities",noun Chapter_23
مُحاسِب,accountant,noun Occupations Chapter_23
مُحاسِبون,accountants,noun Occupations Chapter_23
مَزْرَعة,farm,noun Locations Chapter_23
مَزارع,farms,noun Locations Chapter_23
مُسَجَّل,recorded,adj Chapter_23
مَصْنَع,"factory, plant",noun Locations Chapter_23
مَصانِع,"factories, plants",noun Locations Chapter_23
مَفرَش,tablecloth,noun Household Chapter_23
مَفارِش,tablecloths,noun Household Chapter_23
مَقْعَد,"seat, bench, armchair",noun Household Chapter_23
مَقاعِد,"seats, benches, armchairs",noun Household Chapter_23
مُمْتِع,enjoyable,adj Chapter_23
مُلَوَّث,polluted,adj Chapter_23
مَنزِل,"house, residence",noun Household Chapter_23
مَنازِل,"houses, residences",noun Household Chapter_23
مَنْظَر,"view, panorama",noun Chapter_23
مَناظِر,"views, panoramas",noun Chapter_23
مُواصَلة,means of transportation,noun Transportation Chapter_23
مُواصَلات,means of transportation (pl),noun Transportation Chapter_23
نادِل,waiter,noun Occupations Chapter_23
نُدُل,waiters,noun Occupations Chapter_23
نَعناع,"mint, peppermint",noun Food Chapter_23
تَقيّ,pure,adj Chapter_23
هادِئ,"quiet, serene",adj Chapter_23
هَدِيّة,"present, gift",noun Chapter_23
هَدايا,"presents, gifts",noun Chapter_23
اِخْتارَ (يَخْتارُ) اِخْتِيار,to select,verb Chapter_23
آخِر,"last, latest",adj Chapter_24
إدارة,department,noun Chapter_24
إدارات,departments,noun Chapter_24
اِسْتَوْرَدَ (يَسْتَوْرِدُ) اِسْتِيراد,to import,verb Chapter_24
أسْفَل,"bottom, lowest point, lower",noun Chapter_24
أسافِل,"bottom, lowest points, lower (pl)",noun Chapter_24
أشْبَهَ (يُشْبِهُ) شَبَه,to resemble,verb Chapter_24
اِعْتَنى (يَعْتَني) اِعتِناء (بِـ),"to take care of, to tend",verb Chapter_24
أقام (يُقيم) إقامة,to reside in,verb Chapter_24
أُنْثى,female,noun Descriptive Chapter_24
إناث,females,noun Descriptive Chapter_24
بائِع,salesperson,noun Occupations Chapter_24
بائعون,salespersons,noun Occupations Chapter_24
بَدا (يَبدو) بُدُوُّ/بَداء,"to appear, to seem",verb Chapter_24
بُنّيّ,brown,adj Colors Chapter_24
تاجِر,"merchant, businessperson",noun Occupations Chapter_24
تُجّار,"merchants, businesspersons",noun Occupations Chapter_24
تَقاعَدَ (يَتَقاعَدُ) تَقاعُد (عن),to retire (from work),verb Chapter_24
تَوْقيع,signature,noun Chapter_24
جَدّ,grandfather,noun Family Chapter_24
جُدود,grandfathers,noun Family Chapter_24
جيولوجيا,geology,noun Subjects Chapter_24
خال,maternal uncle,noun Family Chapter_24
أخْوال,maternal uncles,noun Family Chapter_24
خَزَّنَ (يُخَزِّنُ) تَخْزين,to store,verb Chapter_24
دَليل,guide,noun Chapter_24
أدِلاّء,guides,noun Chapter_24
راجَعَ (يُراجِعُ) مُراجعَة,"to refer to, to review",verb Chapter_24
رَدَّ (يَرُدُّ) رَدّ,"to respond, to answer",verb Chapter_24
سَجَّلَ (يُسَجِّلُ) تَسْجيل,"to register, to record",verb Chapter_24
سياحيّ,tourist,adj Chapter_24
شَعْر,hair,noun Body Chapter_24
شُعور/أشْعار,hairs,noun Body Chapter_24
شِعْر,"poetry, poem",noun Chapter_24
أشْعار,"poetry (pl), poems",noun Chapter_24
شُهْرة,"last name, surname",noun Chapter_24
صَدَرَ (يَصْدُرُ) صُدور,to issue,verb Chapter_24
صُغرى,"youngest, smallest",adj Common Chapter_24
صَيدلانِيّة,pharmacist,noun Occupations Chapter_24
صَيْدَليّة,pharmacy,noun Locations Chapter_24
طول,height,noun Chapter_24
عَمّ,paternal uncle,noun Family Chapter_24
أعْمام,paternal uncles,noun Family Chapter_24
عُمُر,age,noun Chapter_24
أعْمار,ages,noun Chapter_24
عَيْن,eye,noun Body Chapter_24
عُيون,eyes,noun Body Chapter_24
غِيار,"spare part, change",noun Chapter_24
غيارات,"spare parts, changes",noun Chapter_24
فَرْع,"branch, subdivision",noun Chapter_24
فُروع,"branches, subdivisions",noun Chapter_24
كَلَّمَ (يُكَلِّمُ),"to talk to, to speak with",verb Chapter_24
مُتَقاعِد,retired person,noun People Chapter_24
مُتَقاعِدون,retired persons,noun People Chapter_24
مَخْزَن,"store, warehouse",noun Locations Chapter_24
مَخازِن,"stores, warehouses",noun Locations Chapter_24
مُدَرِّس,teacher,noun Occupations Chapter_24
مُدَرِّسون,teachers,noun Occupations Chapter_24
مَريض,"sick, ill, patient",adj Medical Chapter_24
مَرْضى,"sick, ill, patient (pl)",adj Medical Chapter_24
مُسْتَشْفى,hospital,noun Locations Chapter_24
مَفعول,"effectiveness, validity",noun Chapter_24
مُلاحَظة,"note, observation",noun Chapter_24
مُلاحظات,"notes, observations",noun Chapter_24
مِهْنة,"occupation, profession",noun Occupations Chapter_24
مِهَن,"occupations, professions",noun Occupations Chapter_24
مُؤَلَّف (مِن),"consisting of, comprising",participle Chapter_24
نَفْس,same,noun Chapter_24
أنْفَس (...الـ),same (pl),noun Chapter_24
وِزارة,"ministry, department in an administration",noun Chapter_24
وِزارات,"ministries, departments in an administration",noun Chapter_24
مَساع الخَيْر,good evening,phrase Chapter_24
